Platform Action,jhower_category,enava_category,jhower_enava_match,Suggested Category
Shared Collection to Shared Space,Space,Space,1,
Shared Collection to Timeline,Feed,Feed,1,
Shared Form Response to Group Space,Space,Space,1,
Shared Form Response to Private Space,Space,Space,1,
Shared Form Response to Shared Space,Space,Space,1,
Shared Form Response to Timeline,Feed,Feed,1,
Shared LandingPage to Group Space,Space,Space,1,
Shared LandingPage to Private Space,Space,Space,1,
Shared LandingPage to Shared Space,Space,Space,1,
Shared LandingPage to Timeline,Feed,Feed,1,
Shared Link to Group Space,Space,Space,1,
Shared Link to Private Space,Space,Space,1,
Shared Link to Shared Space,Space,Space,1,
Shared Link to Timeline,Feed,Feed,1,
Shared Media to Group Space,Space,Space,1,
Shared Media to Private Space,Space,Space,1,
Shared Media to Shared Space,Space,Space,1,
Shared Media to Timeline,Feed,Feed,1,
Shared Moment to Group Space,Space,Space,1,
Shared Moment to Private Space,Space,Space,1,
Shared Moment to Shared Space,Space,Space,1,
Shared Moment to Timeline,Feed,Feed,1,
Shared Note to Group Space,Space,Space,1,
Shared Note to Private Space,Space,Space,1,
Shared Note to Shared Space,Space,Space,1,
Shared Note to Timeline,Feed,Feed,1,
Shared Post to Group Space,Space,Space,1,
Shared Post to Private Space,Space,Space,1,
Shared Post to Shared Space,Space,Space,1,
Shared Post to Timeline,Feed,Feed,1,
Shared Program to Group Space,Space,Space,1,
Shared Program to Private Space,Space,Space,1,
Shared Program to Shared Space,Space,Space,1,
Shared Program to Timeline,Feed,Feed,1,
Shared Result to Group Space,Space,Space,1,
Shared Result to Private Space,Space,Space,1,
Shared Result to Shared Space,Space,Space,1,
Shared Result to Timeline,Feed,Feed,1,
Space Membership Invitation Accepted,Space,Space,1,
Space Membership Invitation Declined,Space,Space,1,
Started Content,Consume,Consume,1,
Started Moment,Consume,Consume,1,
Started Session,Uncategorized,Uncategorized,1,
Unpublished Program,Uncategorized,Uncategorized,1,
Updated Node,Uncategorized,Uncategorized,1,
Updated Prerequisite,Uncategorized,Uncategorized,1,
Updated AddToQueueElement Element,Uncategorized,Uncategorized,1,
Updated AssessmentMetricPrerequisite Prerequisite,Uncategorized,Uncategorized,1,
Updated AssessmentResultPrerequisite Prerequisite,Uncategorized,Uncategorized,1,
Updated BlockquoteElement Element,Uncategorized,Uncategorized,1,
Updated ChampionConnectElement Element,Uncategorized,Uncategorized,1,
Updated CohortConnectElement Element,Uncategorized,Uncategorized,1,
Updated ContentNode Node,Uncategorized,Uncategorized,1,
Updated CreateSpaceElement Element,Uncategorized,Uncategorized,1,
Updated DisplayChildrenElement Element,Uncategorized,Uncategorized,1,
Updated EparachuteElement Element,Uncategorized,Uncategorized,1,
Updated FormElement Element,Uncategorized,Uncategorized,1,
