user_group,subaggregate
Business As Unusual,Total Content
FamilyLife,Total Content
UMI Connection,Total Content
Remarkable!,Total Content
InteGREAT,Total Content
CeDAR,Total Enterprise
CFP,Total Enterprise
Compassion International,Total Enterprise
Cru,Total Enterprise
Date Night,Total Enterprise
Family Bridges,Total Enterprise
Pacific Dental Services,Total Enterprise
REVEAL for Me,Total Enterprise
Stadia,Total Enterprise
TYRO,Total Enterprise
Other,Total Other
Internal,Total Other
